assembly,ID,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0909.cds.fa.fixed.fa,MMETSP0909,17793,150,5295,13335459,726.32406,2371,4918,0,10343,99.73453,420,828,1185,1590,2343,0.42629,0.06656,0.09794,1.85197,34229,0.00257,0.14191,26489465,13752057,0.51915,9556994,0.36078,4195063,7497,67330,0.00505,11209,0.62997,73,0.0041,2864,0.16096,5822,0.32721,0.08002,0.08486,0.02586
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1138.cds.fa.fixed.fa,MMETSP1138,21907,150,13716,22494042,1016.92728,1248,8959,4,16594,99.80645,582,1002,1389,1932,3201,0.61864,-0.00028,0.03504,2.41277,76051,0.00338,0.17753,21165856,12453920,0.5884,9647354,0.4558,2806566,4014,3296592,0.14655,16613,0.75834,3558,0.16241,11314,0.51646,621,0.02835,0.15532,0.29205,0.46644
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0317.cds.fa.fixed.fa,MMETSP0317,10424,150,14124,12824577,1225.50691,287,5182,5,8676,99.86783,669,1158,1611,2286,3720,0.5036,0.01746,0.06885,1.98998,25201,0.00197,0.22122,16358516,13189683,0.80629,11002753,0.6726,2186930,1989,1883091,0.14683,7121,0.68314,1624,0.15579,4927,0.47266,142,0.01362,0.29773,0.48681,0.45753
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0370.cds.fa.fixed.fa,MMETSP0370,54971,150,7545,41366781,725.22565,8621,15861,0,30166,99.89324,411,891,1266,1683,2541,0.6217,0.05618,0.01619,2.12002,267641,0.00647,0.13825,20603352,14617919,0.70949,9470605,0.45966,5147314,20314,326938,0.0079,37372,0.67985,291,0.00529,21782,0.39625,2127,0.03869,0.17398,0.24414,0.41163
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1412.cds.fa.fixed.fa,MMETSP1412,14977,150,11460,19276146,1275.263,1015,7611,2,11261,99.85631,741,1329,1923,2721,4200,0.48405,0.03246,0.08536,1.92663,49183,0.00255,0.22367,25586643,20197497,0.78938,14112676,0.55156,6084821,6109,79479,0.00412,9896,0.66075,43,0.00287,3505,0.23403,1752,0.11698,0.2265,0.25427,0.32807
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0527.cds.fa.fixed.fa,MMETSP0527,69295,150,14601,78969480,1126.24035,5335,30963,43,51054,99.87985,636,1164,1665,2361,4032,0.54032,0.07238,0.062,1.96088,222674,0.00282,0.19984,26131430,18751880,0.7176,15064889,0.5765,3686991,15913,11113149,0.14073,52796,0.7619,8868,0.12797,40461,0.58389,1478,0.02133,0.22165,0.39974,0.5257
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1033.cds.fa.fixed.fa,MMETSP1033,84081,150,15156,78638505,920.55971,7133,32320,1,59302,99.94286,549,975,1344,1785,2655,0.67219,0.02658,0.04186,2.09089,314814,0.004,0.15657,34624178,27940160,0.80696,22529097,0.65068,5411063,23890,8300714,0.10556,60595,0.72067,8040,0.09562,36239,0.431,3573,0.04249,0.26841,0.40856,0.41261
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0092.cds.fa.fixed.fa,MMETSP0092,13983,150,3867,8529843,589.90732,1612,2364,0,7595,99.75854,342,621,873,1161,1704,0.44076,0.09116,0.09152,1.72699,24132,0.00283,0.12406,2770170,2021130,0.72961,1308787,0.47246,712343,742,871541,0.10218,13548,0.96889,1171,0.08374,12152,0.86906,1709,0.12222,0.12814,0.1766,0.03271
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1374.cds.fa.fixed.fa,MMETSP1374,36647,150,7443,32280606,865.32003,3270,12637,0,24254,99.85466,489,924,1308,1764,2685,0.54844,0.07422,0.0377,1.87543,150615,0.00467,0.16671,22244117,17514166,0.78736,13137098,0.59059,4377068,8589,179505,0.00556,24560,0.67018,78,0.00213,14965,0.40836,721,0.01967,0.30504,0.37713,0.43118
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1166.cds.fa.fixed.fa,MMETSP1166,15668,150,14784,17324103,1092.19454,1216,6487,3,10905,99.88273,582,1137,1698,2493,4212,0.64502,-0.02643,0.07389,2.23312,26817,0.00155,0.16924,23259858,20037909,0.86148,17826516,0.76641,2211393,3198,81407,0.0047,9535,0.60857,133,0.00849,5094,0.32512,1253,0.07997,0.42822,0.44658,0.03481
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0955.cds.fa.fixed.fa,MMETSP0955,7404,150,5589,6943692,931.37885,274,2846,0,5917,99.75399,570,900,1170,1506,2226,0.42591,0.10855,0.08413,1.86487,14353,0.00207,0.18347,24949406,15637477,0.62677,11329709,0.45411,4307768,561,20219,0.00291,4256,0.57482,5,0.00068,1069,0.14438,2994,0.40438,0.11856,0.12469,0.11798
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0056.cds.fa.fixed.fa,MMETSP0056,76846,150,7785,50668938,631.414,12343,16747,0,36584,99.91799,330,735,1137,1608,2688,0.65502,0.03382,0.04656,2.10072,272868,0.00539,0.11968,31388801,24428978,0.77827,18205630,0.58,6223348,35060,427885,0.00844,51161,0.66576,656,0.00854,25307,0.32932,5544,0.07214,0.22914,0.30095,0.39007
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0943.cds.fa.fixed.fa,MMETSP0943,25076,150,17748,30469194,1204.84037,1471,11579,62,19217,99.88089,660,1188,1734,2538,4671,0.66276,0.0005,-0.00729,2.22646,76508,0.00251,0.1919,25599539,20795024,0.81232,17453338,0.68178,3341686,8054,4239340,0.13914,17370,0.69269,3167,0.1263,10443,0.41645,1018,0.0406,0.26563,0.4435,0.50434
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0308.cds.fa.fixed.fa,MMETSP0308,16812,150,13656,19186218,1128.44504,1233,7429,4,12221,99.83766,630,1164,1671,2430,4092,0.51844,-0.0103,0.04495,1.78561,61584,0.00321,0.20478,23490661,15190985,0.64668,11595561,0.49362,3595424,6922,111068,0.00579,10965,0.65221,90,0.00535,4788,0.2848,1122,0.06674,0.22777,0.27079,0.38452
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0975.cds.fa.fixed.fa,MMETSP0975,25635,150,15405,28322193,1091.8907,1908,10828,23,19160,99.95199,618,1083,1572,2304,4194,0.66802,-0.00403,0.02592,2.56384,101423,0.00358,0.169,22740778,20482927,0.90071,17204175,0.75653,3278752,8342,3324318,0.11738,17897,0.69815,2710,0.10571,9408,0.367,1206,0.04705,0.30175,0.46922,0.45217
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1050.cds.fa.fixed.fa,MMETSP1050,30967,150,26886,28968924,920.71789,2620,8165,118,19265,99.91923,456,864,1440,2682,7926,0.56929,0.02122,0.03432,2.10665,109630,0.00378,0.1569,28025795,19280296,0.68795,15285468,0.54541,3994828,6800,3049383,0.10526,21833,0.70504,2583,0.08341,13148,0.42458,2366,0.0764,0.20754,0.29859,0.42411
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0693.cds.fa.fixed.fa,MMETSP0693,6731,150,2100,2299911,298.20651,1688,130,0,1418,99.63935,240,342,480,708,2100,0.45548,0.09871,0.06979,1.91221,11493,0.005,0.07421,5078285,3622696,0.71337,2458365,0.48409,1164331,623,158052,0.06872,6133,0.91116,12,0.00178,469,0.06968,664,0.09865,0.16296,0.2113,0.10425
