ID,Run,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
Fragilariopsis_kerguelensis_SRR1296820,SRR1296820,186,87,156,429,0.433566434
Pleurochrysis_carterae_SRR1300349,SRR1300349,208,64,157,429,0.484848485
Amphora_coffeiformis_SRR1296715,SRR1296715,99,37,293,429,0.230769231
Peridinium_aciculiferum_SRR1294439,SRR1294439,229,56,144,429,0.533799534
Thalassiosira_weissflogii_SRR1300482,SRR1300482,248,52,129,429,0.578088578
Ostreococcus_lucimarinus_SRR1300254,SRR1300254,275,35,119,429,0.641025641
Pelagococcus_subviridis_SRR1296945,SRR1296945,173,97,159,429,0.403263403
Karenia_brevis_SRR1296851,SRR1296851,220,62,147,429,0.512820513
Lingulodinium_polyedrum_SRR1300256,SRR1300256,242,62,125,429,0.564102564
Chaetoceros_affinis_SRR1294450,SRR1294450,38,47,344,429,0.088578089
Symbiodinium_sp._SRR1300432,SRR1300432,197,66,166,429,0.459207459
Bolidomonas_pacifica_SRR1300363,SRR1300363,207,90,132,429,0.482517483
Chrysoreinhardia_SRR1294438,SRR1294438,189,92,148,429,0.440559441
Crypthecodinium_cohnii_SRR1296960,SRR1296960,89,48,292,429,0.207459207
Aplanochytrium_SRR1294425,SRR1294425,197,72,160,429,0.459207459
Prorocentrum_minimum_SRR1296787,SRR1296787,217,67,145,429,0.505827506
Isochrysis_galbana_SRR1300331,SRR1300331,213,86,130,429,0.496503497
Gloeochaete_wittrockiana_SRR1296981,SRR1296981,317,42,70,429,0.738927739
uncultured_eukaryote_SRR1300245,SRR1300245,244,59,126,429,0.568764569
Cryptomonas_curvata_SRR1300356,SRR1300356,170,91,168,429,0.396270396
Thalassionema_nitzschioides_SRR1328075,SRR1328075,11,18,400,429,0.025641026
Polytomella_parva_SRR1296876,SRR1296876,216,93,120,429,0.503496503
Litonotus_pictus_SRR1296935,SRR1296935,222,29,178,429,0.517482517
Gephyrocapsa_oceanica_SRR1300425,SRR1300425,197,96,136,429,0.459207459
Pterosperma_SRR1300516,SRR1300516,174,100,155,429,0.405594406
Oxyrrhis_marina_SRR1296901,SRR1296901,272,43,114,429,0.634032634
Lankesteria_abbotti_SRR1300212,SRR1300212,123,93,213,429,0.286713287
Exanthemachrysis_gayraliae_SRR1300508,SRR1300508,189,79,161,429,0.440559441
Aureoumbra_lagunensis_SRR1296816,SRR1296816,257,40,132,429,0.599067599
Prorocentrum_micans_SRR1300466,SRR1300466,8,18,403,429,0.018648019
Pinguiococcus_pyrenoidosus_SRR1300500,SRR1300500,268,42,119,429,0.624708625
Akashiwo_sanguinea_SRR1294461,SRR1294461,0,3,426,429,0
Skeletonema_marinoi_SRR1300259,SRR1300259,183,48,198,429,0.426573427
Pseudo-nitzschia_delicatissima_SRR1300464,SRR1300464,204,85,140,429,0.475524476
Tetraselmis_striata_SRR1296732,SRR1296732,277,67,85,429,0.645687646
Dunaliella_tertiolecta_SRR1300297,SRR1300297,248,69,112,429,0.578088578
Heterosigma_akashiwo_SRR1296857,SRR1296857,105,84,240,429,0.244755245
Geminigera_SRR1300315,SRR1300315,233,82,114,429,0.543123543
Skeletonema_marinoi_SRR1300409,SRR1300409,147,101,181,429,0.342657343
Florenciella_SRR1294431,SRR1294431,23,31,375,429,0.053613054
Karlodinium_veneficum_SRR1300327,SRR1300327,216,61,152,429,0.503496503
Perkinsus_marinus_SRR1294397,SRR1294397,59,73,297,429,0.137529138
Symbiodinium_sp._SRR1300267,SRR1300267,233,45,151,429,0.543123543
Micromonas_pusilla_SRR1300457,SRR1300457,275,51,103,429,0.641025641
Chaetoceros_sp._SRR1296891,SRR1296891,297,23,109,429,0.692307692
Skeletonema_marinoi_SRR1296717,SRR1296717,239,52,138,429,0.557109557
Anophryoides_haemophila_SRR1294436,SRR1294436,25,20,384,429,0.058275058
Minutocellus_polymorphus_SRR1300535,SRR1300535,49,64,316,429,0.114219114
uncultured_eukaryote_SRR1296996,SRR1296996,332,19,78,429,0.773892774
uncultured_eukaryote_SRR1300529,SRR1300529,199,94,136,429,0.463869464
Pseudo-nitzschia_pungens_SRR1300394,SRR1300394,248,52,129,429,0.578088578
Chrysoculter_rhomboideus_SRR1300372,SRR1300372,138,77,214,429,0.321678322
Heterosigma_akashiwo_SRR1296916,SRR1296916,176,112,141,429,0.41025641
Pseudokeronopsis_SRR1300460,SRR1300460,247,51,131,429,0.575757576
Alexandrium_monilatum_SRR1296896,SRR1296896,242,55,132,429,0.564102564
Ditylum_brightwellii_SRR1300273,SRR1300273,277,41,111,429,0.645687646
Schizochytrium_aggregatum_SRR1300410,SRR1300410,101,69,259,429,0.235431235
Micromonas_SRR1296697,SRR1296697,281,42,106,429,0.655011655
Thalassiosira_oceanica_SRR1300225,SRR1300225,217,69,143,429,0.505827506
Alexandrium_andersonii_SRR1300512,SRR1300512,101,113,215,429,0.235431235
Isochrysis_SRR1300423,SRR1300423,174,97,158,429,0.405594406
Moneuplotes_crassus_SRR1300459,SRR1300459,191,61,177,429,0.445221445
Thalassiosira_weissflogii_SRR1296880,SRR1296880,256,51,122,429,0.596736597
Corethron_pennatum_SRR1296925,SRR1296925,209,80,140,429,0.487179487
Thalassiosira_punctigera_SRR1300398,SRR1300398,253,60,116,429,0.58974359
Goniomonas_SRR1296711,SRR1296711,166,65,198,429,0.386946387
Thalassiosira_weissflogii_SRR1296934,SRR1296934,277,30,122,429,0.645687646
Chrysoreinhardia_SRR1300388,SRR1300388,180,97,152,429,0.41958042
Ochromonas_SRR1296767,SRR1296767,221,75,133,429,0.515151515
Erythrolobus_madagascarensis_SRR1300444,SRR1300444,135,70,224,429,0.314685315
Alexandrium_fundyense_SRR1294389,SRR1294389,9,6,414,429,0.020979021
Proteomonas_sulcata_SRR1300355,SRR1300355,133,123,173,429,0.31002331
Micromonas_SRR1300441,SRR1300441,289,39,101,429,0.673659674
Asterionellopsis_glacialis_SRR1296977,SRR1296977,256,58,115,429,0.596736597
Karenia_brevis_SRR1296749,SRR1296749,224,68,137,429,0.522144522
Emiliania_huxleyi_SRR1300232,SRR1300232,151,106,172,429,0.351981352
Ditylum_brightwellii_SRR1300309,SRR1300309,113,103,213,429,0.263403263
Ochromonas_SRR1300317,SRR1300317,221,68,140,429,0.515151515
Micromonas_SRR1300454,SRR1300454,253,71,105,429,0.58974359
Vaucheria_litorea_SRR1300217,SRR1300217,223,72,134,429,0.51981352
Karenia_brevis_SRR1296748,SRR1296748,216,70,143,429,0.503496503
uncultured_eukaryote_SRR1300504,SRR1300504,189,121,119,429,0.440559441
