assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/DRR030368.orthomerged.fasta,80185,201,18657,46834353,584.07873,0,11790,9,18231,66.55638,242,431,904,1594,3003,0.48839,0.02393,-0.018000000000000002,1.9850700000000001,1483,2.9999999999999997e-05,0.11624000000000001,68178,68178,0.85026,0.86061,46509,0.58708,28852,0.3642,24740,0.31229,20795,0.26249,19285,0.24343,17716,0.22363000000000002,0.21996999999999997,,,,DRR030368,DRR030368
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/ERR1016675.orthomerged.fasta,122858,201,18093,77423804,630.18936,0,19108,28,29758,69.88025999999999,253,482,984,1819,3663,0.4687,0.02163,0.04118,2.17712,2702,2.9999999999999997e-05,0.11657000000000001,107994,107994,0.8790100000000001,0.82906,76823,0.58977,48430,0.37179,42039,0.32273,35006,0.26874000000000003,31894,0.24485,28418,0.21816,0.19517,,,,ERR1016675,ERR1016675
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/DRR069093.orthomerged.fasta,92862,201,15849,80057163,862.1089699999999,0,27580,14,31610,63.25495,312,903,1512,2177,3455,0.41007,-0.047830000000000004,0.0019199999999999998,1.50389,9633,0.00011999999999999999,0.15655,81545,81545,0.87813,0.71754,58875,0.5180600000000001,35099,0.30885,30928,0.27214,26033,0.22906999999999997,23195,0.2041,19056,0.16768,0.25743,,,,DRR069093,DRR069093
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/DRR053698.orthomerged.fasta,98241,201,11412,84459024,859.7125800000001,0,28262,12,30061,58.7008,319,865,1513,2198,3467,0.40429,-0.047389999999999995,0.00795,1.5052,12870,0.00015,0.15639,88648,88648,0.90235,0.81501,63156,0.5806399999999999,38361,0.35268,34227,0.31468,29531,0.2715,26854,0.24689,22666,0.20839000000000002,0.27633,,,,DRR053698,DRR053698
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/DRR031870.orthomerged.fasta,80765,201,7637,55492870,687.0905700000001,0,17161,0,23286,66.63618000000001,267,609,1129,1741,2747,0.42393000000000003,0.05049,0.01111,1.52681,446,1e-05,0.13248,71900,71900,0.8902399999999999,0.7831899999999999,54010,0.58832,34217,0.37272,30548,0.33275,26097,0.28426999999999997,23967,0.26106999999999997,21233,0.23129,0.27987,,,,DRR031870,DRR031870
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/ERR489297.orthomerged.fasta,133218,201,33130,111109780,834.0448,0,29460,137,29911,55.46774,286,768,1669,2984,5548,0.48426,-0.014509999999999999,-0.041569999999999996,2.26329,18763,0.00016999999999999999,0.14423,110849,110849,0.83209,0.8982700000000001,70878,0.57436,42096,0.34113000000000004,35687,0.28919,29313,0.23754,26328,0.21335,22879,0.1854,0.26789,,,,ERR489297,ERR489297
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/DRR046632.orthomerged.fasta,167037,201,9153,81878662,490.18279,0,16312,0,22502,60.94481,236,341,590,1148,2313,0.47008999999999995,0.01321,0.02214,1.32584,3920,5e-05,0.09691,135636,135636,0.81201,0.86244,100426,0.63856,63843,0.40595,57224,0.36386,49260,0.31322,45150,0.28709,38867,0.24714,0.32239,,,,DRR046632,DRR046632
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/SRR1789336.orthomerged.fasta,147419,201,12277,84635490,574.1152099999999,0,19096,7,24937,61.900909999999996,240,397,878,1812,3657,0.49815,-0.0126,-0.014730000000000002,1.55044,620,1e-05,0.10774,127941,127941,0.86787,1.12884,87343,0.77064,58671,0.51766,53782,0.47453,47694,0.42081,44375,0.39153000000000004,39821,0.35135,0.39684,,,,SRR1789336,SRR1789336
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/ERR058009.orthomerged.fasta,23285,201,7452,15279331,656.18772,0,4427,0,8809,77.43386,282,565,935,1410,2369,0.27428,-0.0666,-0.05636,1.1310200000000001,720,5e-05,0.10715999999999999,19326,19326,0.8299799999999999,0.93866,13031,0.6329100000000001,7211,0.35024,6187,0.3005,5074,0.24644000000000002,4493,0.21821999999999997,3540,0.17194,0.30173,,,,ERR058009,ERR058009
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/SRR2086412.orthomerged.fasta,220911,201,16245,148762207,673.40335,0,34330,97,28314,46.30276,251,493,1297,2618,4941,0.47533000000000003,0.01735,0.01209,1.29526,1390,1e-05,0.12102,189182,189182,0.8563700000000001,1.10134,135907,0.79119,94595,0.55069,87927,0.5118699999999999,79725,0.46412,74786,0.43537,68144,0.3967,0.38721,,,,SRR2086412,SRR2086412
/mnt/home/ljcohen/oysterriver_assemblies/MacManes/orthomerged/DRR082659.orthomerged.fasta,384992,201,11578,171129172,444.50059000000005,0,25461,1,39655,59.232209999999995,233,320,500,820,1674,0.43593999999999994,0.0565,0.00406,1.7964099999999998,26575,0.00016,0.09151000000000001,292112,292112,0.75875,0.8982100000000001,206236,0.63415,124543,0.38295999999999997,106498,0.32747,86631,0.26638,76354,0.23478000000000002,63957,0.19666,0.28939000000000004,,,,DRR082659,DRR082659
