assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/scratch/ljcohen/mmetsp/Fragilariopsis_kerguelensis/SRR1296820/trinity/Fragilariopsis_kerguelensis_SRR1296820.Trinity.fixed.fasta,45190,201,7353,30484433,674.5836,0,9067,0,13644,68.78362,276,572,1052,1656,2690,0.39984,0.01209,0.01398,1.84892,0,0.0,0.12799,19277,19277,0.42658,1.0834,14495,0.81465,8428,0.47367,7613,0.42786,6589,0.37031,6079,0.34165,5482,0.3081,0.48349,,,,MMETSP0909,SRR1296820
/mnt/scratch/ljcohen/mmetsp/Pleurochrysis_carterae/SRR1300349/trinity/Pleurochrysis_carterae_SRR1300349.Trinity.fixed.fasta,41714,201,9909,29450488,706.00968,0,9669,0,15368,73.10308,287,633,1128,1635,2494,0.58979,0.0089,0.00294,2.39853,0,0.0,0.1351,18101,18101,0.43393,0.82627,14731,0.67243,7642,0.34884,6910,0.31542,5972,0.27261,5547,0.25321,5082,0.23198,0.29227,,,,MMETSP1138,SRR1300349
/mnt/scratch/ljcohen/mmetsp/Amphora_coffeiformis/SRR1296715/trinity/Amphora_coffeiformis_SRR1296715.Trinity.fixed.fasta,16962,201,8944,13657203,805.16466,0,4499,0,7889,84.03032,325,759,1276,1871,3165,0.49214,0.00633,0.00476,1.98931,0,0.0,0.15494,8449,8449,0.49811,0.81053,7504,0.71988,3930,0.37701,3706,0.35553,3381,0.32435,3224,0.30929,3027,0.29039,0.32794,,,,MMETSP0317,SRR1296715
/mnt/scratch/ljcohen/mmetsp/Peridinium_aciculiferum/SRR1294439/trinity/Peridinium_aciculiferum_SRR1294439.Trinity.fixed.fasta,100629,201,5930,62013692,616.26064,0,18236,0,43098,91.92579,270,521,889,1317,1967,0.61521,0.00845,0.00084,2.1151,0,0.0,0.12039,53668,53668,0.53333,0.9763,44599,0.81132,23747,0.43199,21878,0.39799,19203,0.34933,18279,0.33252,17120,0.31144,0.44531,,,,MMETSP0370,SRR1294439
/mnt/scratch/ljcohen/mmetsp/Thalassiosira_weissflogii/SRR1300482/trinity/Thalassiosira_weissflogii_SRR1300482.Trinity.fixed.fasta,26626,201,10522,30936082,1161.87493,0,11431,4,15744,78.12117,510,1219,1846,2674,4232,0.46525,0.00849,0.00678,1.93472,0,0.0,0.20584,17410,17410,0.65387,1.16245,13530,0.90339,7612,0.50825,7199,0.48067,6500,0.434,6208,0.4145,5862,0.3914,0.50835,,,,MMETSP1412,SRR1300482
/mnt/scratch/ljcohen/mmetsp/Ostreococcus_lucimarinus/SRR1300254/trinity/Ostreococcus_lucimarinus_SRR1300254.Trinity.fixed.fasta,8302,201,15644,11720971,1411.82498,0,4301,5,6173,80.33619,703,1407,2115,3059,5031,0.5923,0.0023,0.00083,2.7924,0,0.0,0.21493,6805,6805,0.81968,0.87977,5581,0.72153,2873,0.37143,2637,0.34092,2307,0.29825,2118,0.27382,1735,0.22431,0.32015,,,,MMETSP0939,SRR1300254
/mnt/scratch/ljcohen/mmetsp/Pelagococcus_subviridis/SRR1296945/trinity/Pelagococcus_subviridis_SRR1296945.Trinity.fixed.fasta,31975,201,16727,23593952,737.88747,0,6546,30,15242,83.89303,313,632,1051,1691,3482,0.65743,0.00401,0.00027,2.59923,0,0.0,0.12406,22486,22486,0.70324,1.06614,17462,0.82794,9323,0.44204,8493,0.40268,7318,0.34697,6808,0.32279,6004,0.28467,0.43908,,,,MMETSP0883,SRR1296945
/mnt/scratch/ljcohen/mmetsp/Karenia_brevis/SRR1296851/trinity/Karenia_brevis_SRR1296851.Trinity.fixed.fasta,151973,201,12709,92381743,607.8826,0,24362,3,58242,92.81109,261,482,873,1432,2487,0.53505,0.00848,0.00387,1.95676,0,0.0,0.12071,63638,63638,0.41875,0.91836,50183,0.72419,26859,0.3876,23920,0.34519,20500,0.29584,18873,0.27236,17002,0.24536,0.33867,,,,MMETSP0527,SRR1296851
/mnt/scratch/ljcohen/mmetsp/Lingulodinium_polyedrum/SRR1300256/trinity/Lingulodinium_polyedrum_SRR1300256.Trinity.fixed.fasta,115880,201,7553,76885607,663.49333,0,23785,0,55975,94.44104,287,584,960,1398,2123,0.6756,0.00636,0.00283,2.10412,0,0.0,0.12022,74399,74399,0.64203,0.88485,60709,0.72203,32157,0.38245,28948,0.34429,25161,0.29925,23305,0.27717,20732,0.24657,0.34675,,,,MMETSP1033,SRR1300256
/mnt/scratch/ljcohen/mmetsp/Chaetoceros_affinis/SRR1294450/trinity/Chaetoceros_affinis_SRR1294450.Trinity.fixed.fasta,8404,201,3223,3958258,470.99691,0,508,0,2238,81.01465,249,377,568,784,1158,0.42708,0.0272,0.01473,1.71463,0,0.0,0.10021,6553,6553,0.77975,0.46864,5437,0.38883,2782,0.19896,1327,0.0949,649,0.04641,537,0.0384,416,0.02975,0.17263,,,,MMETSP0092,SRR1294450
