assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0909.nt.fa.fixed.fa,34508,150,7824,25837299,713.61073,7006,9052,0,11312,63.97762,369,964,1486,2184,3590,0.40163,-0.00161,0.00116,1.83404,29665,0.00115,0.13502,26753,26753,0.77527,0.59201,23493,0.51987,11683,0.25853,10616,0.23492,8416,0.18624,6963,0.15408,3940,0.08719,0.30197,,,,MMETSP0909,SRR1296820
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1138.nt.fa.fixed.fa,26070,150,14178,33695495,1280.92478,1750,14849,5,17505,64.04235,804,1328,1768,2321,3552,0.58969,-0.00093,0.00077,2.39886,102591,0.00304,0.22155,24909,24909,0.95547,0.59714,16986,0.4072,9804,0.23503,9127,0.2188,7752,0.18584,6735,0.16146,3762,0.09019,0.35641,,,,MMETSP1138,SRR1300349
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0317.nt.fa.fixed.fa,11397,150,15904,15309248,1336.46775,444,6269,6,8733,79.10188,748,1288,1784,2502,3978,0.49638,0.00013,0.00342,1.98466,20963,0.00137,0.23831,11123,11123,0.97596,0.65576,8070,0.47577,4649,0.27408,4398,0.25929,3897,0.22975,3313,0.19532,1406,0.08289,0.40482,,,,MMETSP0317,SRR1296715
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0370.nt.fa.fixed.fa,64738,150,8263,46663561,690.73685,11225,17705,0,30694,87.41679,361,900,1296,1748,2663,0.61414,-0.00595,0.00401,2.11291,176367,0.00378,0.13359,54294,54294,0.83867,0.53955,50715,0.50398,24921,0.24765,23058,0.22914,18516,0.184,15432,0.15336,8321,0.08269,0.29405,,,,MMETSP0370,SRR1294439
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1412.nt.fa.fixed.fa,19076,150,13688,25175591,1293.47038,2925,9425,4,11501,76.33623,877,1563,2297,3274,5271,0.46954,-0.00329,-0.00353,1.92827,43146,0.00171,0.22242,17112,17112,0.89704,0.64268,15513,0.58263,7525,0.28262,7023,0.26376,5994,0.22512,5248,0.1971,2543,0.09551,0.33218,,,,MMETSP1412,SRR1300482
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0939.nt.fa.fixed.fa,7927,150,19732,15556430,1957.07948,246,5432,50,6917,73.32427,1047,1886,2721,3885,7036,0.59164,-0.00158,0.00282,2.7721,8998,0.00058,0.27369,7663,7663,0.9667,0.92303,5547,0.66815,3147,0.37907,3034,0.36545,2755,0.33185,2426,0.29222,1363,0.16418,0.44821,,,,MMETSP0939,SRR1300254
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0939.nt.fa.fixed.fa,7927,150,19732,15556430,1957.07948,246,5432,50,6917,73.32427,1047,1886,2721,3885,7036,0.59164,-0.00158,0.00282,2.7721,8998,0.00058,0.27369,79,79,0.00997,0.00247,51,0.00159,21,0.00066,16,0.0005,8,0.00025,4,0.00013,2,6e-05,0.00064,,,,MMETSP0883,SRR1296945
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0527.nt.fa.fixed.fa,81513,150,14879,89019523,1071.99637,9433,34938,45,51956,83.57768,643,1204,1711,2408,4154,0.53604,0.00069,0.00115,1.94935,157331,0.00177,0.1923,71652,71652,0.87903,0.47148,55709,0.36657,30383,0.19992,28816,0.18961,25439,0.16739,22768,0.14982,15416,0.10144,0.32065,,,,MMETSP0527,SRR1296851
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0527.nt.fa.fixed.fa,81513,150,14879,89019523,1071.99637,9433,34938,45,51956,83.57768,643,1204,1711,2408,4154,0.53604,0.00069,0.00115,1.94935,157331,0.00177,0.1923,1249,1249,0.01532,0.01078,905,0.00781,348,0.003,242,0.00209,109,0.00094,69,0.0006,24,0.00021,0.00358,,,,MMETSP1033,SRR1300256
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0092.nt.fa.fixed.fa,18841,150,5106,12203809,619.20599,3111,3941,0,7999,77.77897,348,723,1054,1470,2375,0.42438,-0.00515,0.0007,1.71514,6784,0.00056,0.12882,6171,6171,0.32753,0.73429,6031,0.71763,3017,0.359,2985,0.35519,2837,0.33758,2671,0.31782,2076,0.24703,0.38179,,,,MMETSP0092,SRR1294450
