,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
MMETSP0052,239,44,20,303,0.7887788778877888
MMETSP1370,171,70,62,303,0.5643564356435643
MMETSP0941,258,30,15,303,0.8514851485148515
MMETSP0574,225,27,51,303,0.7425742574257426
MMETSP0167,182,79,42,303,0.6006600660066007
MMETSP0164,223,48,32,303,0.735973597359736
MMETSP0942,169,55,79,303,0.5577557755775577
MMETSP0699,189,66,48,303,0.6237623762376238
MMETSP0718,72,51,180,303,0.2376237623762376
MMETSP0057,199,48,56,303,0.6567656765676567
MMETSP0944,209,56,38,303,0.6897689768976898
MMETSP1439,149,66,88,303,0.49174917491749176
MMETSP0947,235,47,21,303,0.7755775577557755
MMETSP0161,235,41,27,303,0.7755775577557755
MMETSP0308,280,15,8,303,0.9240924092409241
MMETSP1098,202,64,37,303,0.6666666666666666
MMETSP0447,276,15,12,303,0.9108910891089109
MMETSP1435,48,52,203,303,0.15841584158415842
MMETSP0717,54,108,141,303,0.1782178217821782
MMETSP0058,236,42,25,303,0.7788778877887789
MMETSP1094,185,71,47,303,0.6105610561056105
MMETSP1097,28,45,230,303,0.0924092409240924
MMETSP0448,185,51,67,303,0.6105610561056105
MMETSP0693,34,53,216,303,0.11221122112211221
MMETSP1110,202,42,59,303,0.6666666666666666
MMETSP0232,2,7,294,303,0.006600660066006601
MMETSP1436,103,96,104,303,0.33993399339933994
MMETSP0948,218,57,28,303,0.7194719471947195
MMETSP0234,250,41,12,303,0.8250825082508251
MMETSP0168,278,11,14,303,0.9174917491749175
MMETSP1091,135,89,79,303,0.44554455445544555
MMETSP1116,188,37,78,303,0.6204620462046204
MMETSP0286,92,56,155,303,0.30363036303630364
MMETSP0696,233,41,29,303,0.768976897689769
MMETSP0878,229,43,31,303,0.7557755775577558
MMETSP1115,203,33,67,303,0.66996699669967
MMETSP1433,275,12,16,303,0.9075907590759076
MMETSP0578,151,62,90,303,0.49834983498349833
MMETSP0100,229,36,38,303,0.7557755775577558
MMETSP0087,256,23,24,303,0.8448844884488449
MMETSP1317,72,82,149,303,0.2376237623762376
MMETSP0494,148,83,72,303,0.4884488448844885
MMETSP0369,227,26,50,303,0.7491749174917491
MMETSP0994,179,61,63,303,0.5907590759075908
MMETSP0810,155,68,80,303,0.5115511551155115
MMETSP0997,170,72,61,303,0.5610561056105611
MMETSP0925,35,117,151,303,0.11551155115511551
MMETSP1048,188,48,67,303,0.6204620462046204
MMETSP0103,206,57,40,303,0.6798679867986799
MMETSP0923,55,126,122,303,0.18151815181518152
MMETSP1312,255,28,20,303,0.8415841584158416
MMETSP0491,203,75,25,303,0.66996699669967
MMETSP0105,241,41,21,303,0.7953795379537953
MMETSP0259,222,28,53,303,0.7326732673267327
MMETSP0816,153,91,59,303,0.504950495049505
MMETSP0030,200,47,56,303,0.6600660066006601
MMETSP0991,192,72,39,303,0.6336633663366337
MMETSP0420,175,80,48,303,0.5775577557755776
MMETSP0033,250,31,22,303,0.8250825082508251
MMETSP0992,180,75,48,303,0.594059405940594
MMETSP1178,124,60,119,303,0.40924092409240925
MMETSP0815,209,53,41,303,0.6897689768976898
MMETSP0106,243,37,23,303,0.801980198019802
MMETSP0649,212,44,47,303,0.6996699669966997
MMETSP0920,137,98,68,303,0.4521452145214521
MMETSP1311,166,87,50,303,0.5478547854785478
MMETSP0492,110,79,114,303,0.36303630363036304
MMETSP1174,218,52,33,303,0.7194719471947195
MMETSP0819,236,49,18,303,0.7788778877887789
MMETSP1452,184,76,43,303,0.6072607260726073
MMETSP1041,197,62,44,303,0.6501650165016502
MMETSP1451,211,48,44,303,0.6963696369636964
MMETSP1042,192,69,42,303,0.6336633663366337
MMETSP0109,258,19,26,303,0.8514851485148515
MMETSP1177,239,34,30,303,0.7887788778877888
MMETSP0360,214,36,53,303,0.7062706270627063
MMETSP1171,101,46,156,303,0.3333333333333333
MMETSP0088,38,48,217,303,0.1254125412541254
MMETSP1318,225,45,33,303,0.7425742574257426
MMETSP0929,260,7,36,303,0.858085808580858
MMETSP0253,232,20,51,303,0.7656765676567657
MMETSP1047,221,47,35,303,0.7293729372937293
MMETSP0998,181,62,60,303,0.5973597359735974
MMETSP0039,230,43,30,303,0.759075907590759
MMETSP1172,221,57,25,303,0.7293729372937293
MMETSP0118,220,47,36,303,0.7260726072607261
MMETSP1440,175,58,70,303,0.5775577557755776
MMETSP0371,213,36,54,303,0.7029702970297029
MMETSP1166,219,37,47,303,0.7227722772277227
MMETSP1165,182,51,70,303,0.6006600660066007
MMETSP0372,11,10,282,303,0.036303630363036306
MMETSP1050,165,78,60,303,0.5445544554455446
MMETSP1443,147,51,105,303,0.48514851485148514
MMETSP1445,235,50,18,303,0.7755775577557755
MMETSP1163,220,49,34,303,0.7260726072607261
MMETSP0989,248,33,22,303,0.8184818481848185
MMETSP1160,226,44,33,303,0.7458745874587459
MMETSP1055,224,38,41,303,0.7392739273927392
MMETSP0938,247,13,43,303,0.8151815181518152
MMETSP1309,229,50,24,303,0.7557755775577558
MMETSP0099,196,43,64,303,0.6468646864686468
MMETSP1446,219,66,18,303,0.7227722772277227
MMETSP0986,240,42,21,303,0.7920792079207921
MMETSP0027,201,44,58,303,0.6633663366336634
MMETSP0434,207,33,63,303,0.6831683168316832
MMETSP0112,137,34,132,303,0.4521452145214521
MMETSP1059,224,43,36,303,0.7392739273927392
MMETSP0095,225,29,49,303,0.7425742574257426
MMETSP0096,216,37,50,303,0.7128712871287128
MMETSP0937,225,22,56,303,0.7425742574257426
MMETSP1449,185,48,70,303,0.6105610561056105
MMETSP0111,214,40,49,303,0.7062706270627063
MMETSP0802,262,14,27,303,0.8646864686468647
MMETSP0985,246,32,25,303,0.8118811881188119
MMETSP0437,195,44,64,303,0.6435643564356436
MMETSP0378,47,64,192,303,0.1551155115511551
MMETSP0804,265,25,13,303,0.8745874587458746
MMETSP1169,239,43,21,303,0.7887788778877888
