assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/scratch/ljcohen/mmetsp/MMETSP0717/MMETSP0717.Trinity.fixed.fasta,31873,201,6324,23666494,742.52483,0,8258,0,14350,74.69465,327,710,1057,1454,2146,0.42722,0.01425,0.00983,1.69417,0,0.0,0.14727,30612,30612,0.96044,0.96806,28931,0.9149,25350,0.80166,25170,0.79596,24761,0.78303,24440,0.77288,23764,0.7515,0.77729,,,,MMETSP0717,SRR1294454
/mnt/scratch/ljcohen/mmetsp/MMETSP0717/MMETSP0717.Trinity.fixed.fasta,31873,201,6324,23666494,742.52483,0,8258,0,14350,74.69465,327,710,1057,1454,2146,0.42722,0.01425,0.00983,1.69417,0,0.0,0.14727,13919,13919,0.4367,1.06847,10111,0.77616,5437,0.41736,5256,0.40347,4938,0.37906,4773,0.36639,4542,0.34866,0.44061,,,,MMETSP0717,SRR1294455
/mnt/scratch/ljcohen/mmetsp/MMETSP0717/MMETSP0717.Trinity.fixed.fasta,31873,201,6324,23666494,742.52483,0,8258,0,14350,74.69465,327,710,1057,1454,2146,0.42722,0.01425,0.00983,1.69417,0,0.0,0.14727,13953,13953,0.43777,1.06585,10166,0.77656,5419,0.41395,5238,0.40012,4937,0.37713,4794,0.36621,4622,0.35307,0.43813,,,,MMETSP0717,SRR1294456
/mnt/scratch/ljcohen/mmetsp/MMETSP0717/MMETSP0717.Trinity.fixed.fasta,31873,201,6324,23666494,742.52483,0,8258,0,14350,74.69465,327,710,1057,1454,2146,0.42722,0.01425,0.00983,1.69417,0,0.0,0.14727,13863,13863,0.43494,1.06532,10114,0.77722,5481,0.42119,5322,0.40898,5012,0.38515,4838,0.37178,4647,0.3571,0.4467,,,,MMETSP0717,SRR1294457
/mnt/scratch/ljcohen/mmetsp/MMETSP0088/MMETSP0088.Trinity.fixed.fasta,28938,201,4376,17144795,592.46648,0,4589,0,10473,78.84624,271,500,803,1171,1777,0.42153,0.0162,0.01331,1.72648,0,0.0,0.12072,27531,27531,0.95138,0.9575,26221,0.91194,22796,0.79282,22639,0.78736,22186,0.77161,21825,0.75905,21144,0.73537,0.76352,,,,MMETSP0088,SRR1294445
/mnt/scratch/ljcohen/mmetsp/MMETSP0088/MMETSP0088.Trinity.fixed.fasta,28938,201,4376,17144795,592.46648,0,4589,0,10473,78.84624,271,500,803,1171,1777,0.42153,0.0162,0.01331,1.72648,0,0.0,0.12072,7076,7076,0.24452,0.99173,5442,0.76272,2936,0.41149,2885,0.40434,2731,0.38276,2659,0.37267,2544,0.35655,0.44264,,,,MMETSP0088,SRR1294446
/mnt/scratch/ljcohen/mmetsp/MMETSP0088/MMETSP0088.Trinity.fixed.fasta,28938,201,4376,17144795,592.46648,0,4589,0,10473,78.84624,271,500,803,1171,1777,0.42153,0.0162,0.01331,1.72648,0,0.0,0.12072,7200,7200,0.24881,0.99917,5504,0.76381,2965,0.41146,2900,0.40244,2767,0.38399,2693,0.37372,2570,0.35665,0.43814,,,,MMETSP0088,SRR1294447
/mnt/scratch/ljcohen/mmetsp/MMETSP0088/MMETSP0088.Trinity.fixed.fasta,28938,201,4376,17144795,592.46648,0,4589,0,10473,78.84624,271,500,803,1171,1777,0.42153,0.0162,0.01331,1.72648,0,0.0,0.12072,7183,7183,0.24822,1.00056,5475,0.76264,2966,0.41315,2896,0.4034,2756,0.3839,2685,0.37401,2561,0.35673,0.43903,,,,MMETSP0088,SRR1294448
/mnt/scratch/ljcohen/mmetsp/MMETSP1002/MMETSP1002.Trinity.fixed.fasta,39986,201,5143,21268308,531.89386,0,4732,0,11066,76.59567,254,420,682,1044,1690,0.42808,0.0179,0.00762,1.77078,0,0.0,0.10975,38057,38057,0.95176,0.9697,35896,0.91464,31263,0.79659,31019,0.79037,30266,0.77119,29753,0.75812,28752,0.73261,0.75519,,,,MMETSP1002,SRR1294414
/mnt/scratch/ljcohen/mmetsp/MMETSP1002/MMETSP1002.Trinity.fixed.fasta,39986,201,5143,21268308,531.89386,0,4732,0,11066,76.59567,254,420,682,1044,1690,0.42808,0.0179,0.00762,1.77078,0,0.0,0.10975,8516,8516,0.21297,1.12541,5826,0.76992,3161,0.41773,3013,0.39818,2755,0.36408,2636,0.34835,2501,0.33051,0.43656,,,,MMETSP1002,SRR1294415
