assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0909.cds.fa.fixed.fa,17793,150,5295,13335459,726.32406,2371,4918,0,10343,99.73453,420,828,1185,1590,2343,0.42629,0.06656,0.09794,1.85197,34229,0.00257,0.14191,15540,15540,0.87338,0.34388,14513,0.32116,7770,0.17194,6224,0.13773,3545,0.07845,2136,0.04727,760,0.01682,0.19885,,,,MMETSP0909,SRR1296820
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1138.cds.fa.fixed.fa,21907,150,13716,22494042,1016.92728,1248,8959,4,16594,99.80645,582,1002,1389,1932,3201,0.61864,-0.00028,0.03504,2.41277,76051,0.00338,0.17753,21046,21046,0.9607,0.50453,14190,0.34017,7104,0.1703,5597,0.13418,2976,0.07134,1829,0.04385,804,0.01927,0.20889,,,,MMETSP1138,SRR1300349
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0317.cds.fa.fixed.fa,10424,150,14124,12824577,1225.50691,287,5182,5,8676,99.86783,669,1158,1611,2286,3720,0.5036,0.01746,0.06885,1.98998,25201,0.00197,0.22122,10208,10208,0.97928,0.60182,7369,0.43444,3759,0.22161,3429,0.20216,2427,0.14308,1530,0.0902,403,0.02376,0.29312,,,,MMETSP0317,SRR1296715
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0370.cds.fa.fixed.fa,54971,150,7545,41366781,725.22565,8621,15861,0,30166,99.89324,411,891,1266,1683,2541,0.6217,0.05618,0.01619,2.12002,267641,0.00647,0.13825,47874,47874,0.8709,0.47575,44589,0.4431,22511,0.2237,20413,0.20285,15171,0.15076,11239,0.11169,4445,0.04417,0.27406,,,,MMETSP0370,SRR1294439
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1412.cds.fa.fixed.fa,14977,150,11460,19276146,1275.263,1015,7611,2,11261,99.85631,741,1329,1923,2721,4200,0.48405,0.03246,0.08536,1.92663,49183,0.00255,0.22367,14252,14252,0.95159,0.53527,13558,0.5092,7258,0.27259,6325,0.23755,4171,0.15665,2635,0.09896,718,0.02697,0.29602,,,,MMETSP1412,SRR1300482
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0939.cds.fa.fixed.fa,7735,150,19731,13853424,1786.86089,184,5139,38,6913,99.94116,960,1662,2421,3501,6195,0.59723,0.07516,0.064,2.78657,23229,0.00168,0.25534,7542,7542,0.97505,0.90846,5446,0.65599,2748,0.331,2579,0.31065,2181,0.26271,1802,0.21706,844,0.10166,0.35433,,,,MMETSP0939,SRR1300254
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0883.cds.fa.fixed.fa,21091,150,13815,16312374,747.1788,3185,5229,15,11010,99.92964,390,843,1326,2049,4236,0.67124,0.0072,0.03572,2.60243,72830,0.00446,0.12345,19158,19158,0.90835,0.59916,17699,0.55353,8903,0.27844,8090,0.25301,5693,0.17805,4112,0.1286,1527,0.04776,0.27517,,,,MMETSP0883,SRR1296945
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0527.cds.fa.fixed.fa,69295,150,14601,78969480,1126.24035,5335,30963,43,51054,99.87985,636,1164,1665,2361,4032,0.54032,0.07238,0.062,1.96088,222674,0.00282,0.19984,63388,63388,0.91476,0.4171,48446,0.31878,24730,0.16273,23068,0.15179,19149,0.126,15097,0.09934,6681,0.04396,0.2549,,,,MMETSP0527,SRR1296851
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1033.cds.fa.fixed.fa,84081,150,15156,78638505,920.55971,7133,32320,1,59302,99.94286,549,975,1344,1785,2655,0.67219,0.02658,0.04186,2.09089,314814,0.004,0.15657,76400,76400,0.90865,0.6593,58851,0.50786,30894,0.2666,29262,0.25252,23702,0.20454,18470,0.15939,7554,0.06519,0.33052,,,,MMETSP1033,SRR1300256
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0092.cds.fa.fixed.fa,13983,150,3867,8529843,589.90732,1612,2364,0,7595,99.75854,342,621,873,1161,1704,0.44076,0.09116,0.09152,1.72699,24132,0.00283,0.12406,5536,5536,0.39591,0.65873,5442,0.64755,3131,0.37256,2929,0.34852,2283,0.27166,1723,0.20502,1110,0.13208,0.33854,,,,MMETSP0092,SRR1294450
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1374.cds.fa.fixed.fa,36647,150,7443,32280606,865.32003,3270,12637,0,24254,99.85466,489,924,1308,1764,2685,0.54844,0.07422,0.0377,1.87543,150615,0.00467,0.16671,34839,34839,0.95066,0.47577,33758,0.46101,17249,0.23556,16072,0.21948,12964,0.17704,9653,0.13182,2959,0.04041,0.29735,,,,MMETSP1374,SRR1300432
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1374.cds.fa.fixed.fa,36647,150,7443,32280606,865.32003,3270,12637,0,24254,99.85466,489,924,1308,1764,2685,0.54844,0.07422,0.0377,1.87543,150615,0.00467,0.16671,85,85,0.00232,0.00278,71,0.00232,25,0.00082,12,0.00039,4,0.00013,1,3e-05,0,0.0,0.00074,,,,MMETSP1319,SRR1300363
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1166.cds.fa.fixed.fa,15668,150,14784,17324103,1092.19454,1216,6487,3,10905,99.88273,582,1137,1698,2493,4212,0.64502,-0.02643,0.07389,2.23312,26817,0.00155,0.16924,14284,14284,0.91167,0.49438,12544,0.43415,6247,0.21621,5308,0.18371,3787,0.13107,2837,0.09819,1399,0.04842,0.23011,,,,MMETSP1166,SRR1294438
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0323.cds.fa.fixed.fa,17810,150,2715,8390694,444.25789,2744,1280,0,7179,99.74073,279,465,669,912,1461,0.5666,0.02811,0.08597,1.86765,36516,0.00435,0.09678,16292,16292,0.91477,0.41107,15884,0.40078,8320,0.20993,7175,0.18104,4166,0.10511,2481,0.0626,810,0.02044,0.21184,,,,MMETSP0323,SRR1296960
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0955.cds.fa.fixed.fa,7404,150,5589,6943692,931.37885,274,2846,0,5917,99.75399,570,900,1170,1506,2226,0.42591,0.10855,0.08413,1.86487,14353,0.00207,0.18347,7240,7240,0.97785,0.4507,7101,0.44204,3750,0.23344,2766,0.17219,1292,0.08043,632,0.03934,110,0.00685,0.23054,,,,MMETSP0955,SRR1294425
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0056.cds.fa.fixed.fa,76846,150,7785,50668938,631.414,12343,16747,0,36584,99.91799,330,735,1137,1608,2688,0.65502,0.03382,0.04656,2.10072,272868,0.00539,0.11968,67001,67001,0.87189,0.55673,61852,0.51394,31605,0.26261,28735,0.23877,20632,0.17144,14859,0.12347,5847,0.04858,0.28827,,,,MMETSP0056,SRR1296787
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0943.cds.fa.fixed.fa,25076,150,17748,30469194,1204.84037,1471,11579,62,19217,99.88089,660,1188,1734,2538,4671,0.66276,0.0005,-0.00729,2.22646,76508,0.00251,0.1919,23853,23853,0.95123,0.65044,18374,0.50104,9773,0.2665,8816,0.2404,6247,0.17035,4352,0.11867,1590,0.04336,0.30562,,,,MMETSP0943,SRR1300331
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0308.cds.fa.fixed.fa,16812,150,13656,19186218,1128.44504,1233,7429,4,12221,99.83766,630,1164,1671,2430,4092,0.51844,-0.0103,0.04495,1.78561,61584,0.00321,0.20478,16133,16133,0.95961,0.36526,15512,0.3512,7680,0.17388,6534,0.14793,3897,0.08823,2466,0.05583,892,0.0202,0.22278,,,,MMETSP0308,SRR1296981
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0975.cds.fa.fixed.fa,25635,150,15405,28322193,1091.8907,1908,10828,23,19160,99.95199,618,1083,1572,2304,4194,0.66802,-0.00403,0.02592,2.56384,101423,0.00358,0.169,24014,24014,0.93677,0.76541,18550,0.59125,9500,0.3028,9003,0.28696,7332,0.2337,5603,0.17859,2022,0.06445,0.3464,,,,MMETSP0975,SRR1300245
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1050.cds.fa.fixed.fa,30967,150,26886,28968924,920.71789,2620,8165,118,19265,99.91923,456,864,1440,2682,7926,0.56929,0.02122,0.03432,2.10665,109630,0.00378,0.1569,29171,29171,0.942,0.51717,23108,0.40968,12151,0.21542,10673,0.18922,7362,0.13052,5196,0.09212,2227,0.03948,0.25281,,,,MMETSP1050,SRR1300356
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0693.cds.fa.fixed.fa,6731,150,2100,2299911,298.20651,1688,130,0,1418,99.63935,240,342,480,708,2100,0.45548,0.09871,0.06979,1.91221,11493,0.005,0.07421,1598,1598,0.23741,0.71724,1585,0.7114,923,0.41427,889,0.39901,713,0.32002,580,0.26032,376,0.16876,0.37639,,,,MMETSP0693,SRR1328075
