Sample	Unique_kmers
MMETSP1403	14078915
MMETSP0292	10829338
MMETSP1316	10049557
MMETSP1042	20957422
MMETSP0228	49090117
MMETSP0944	23943500
MMETSP0372	3521241
MMETSP1355	18190503
MMETSP0038	12154177
MMETSP1001	20416885
MMETSP0800	10722734
MMETSP0733	16859205
MMETSP1440	24260364
MMETSP0467	26483304
MMETSP0789	13465656
MMETSP0907	28322105
MMETSP0797	29432942
MMETSP1106	18299281
MMETSP0121	33149899
MMETSP0047	23220982
MMETSP0059	29386613
MMETSP1060	21823960
MMETSP0313	13760642
MMETSP1334	28425496
MMETSP0418	9066103
MMETSP1421	23025185
MMETSP0752	12674018
MMETSP1167	21634249
MMETSP0140	16356991
MMETSP1390	13927325
MMETSP1462	46966152
MMETSP0004	10472571
MMETSP1180	10623084
MMETSP1369	35989759
MMETSP1377	29787448
MMETSP1124	18963354
MMETSP0103	13131764
MMETSP0898	27704520
MMETSP0886	13170469
MMETSP0790	34268643
MMETSP0900	28298665
MMETSP0126	20976427
MMETSP1101	27124516
MMETSP0272	57982623
MMETSP1006	13543456
MMETSP1018	6901574
MMETSP1352	13397755
MMETSP1459	10303940
MMETSP1447	15732740
MMETSP0734	19058943
MMETSP0807	9345567
MMETSP0689	46831559
MMETSP0697	16786514
MMETSP0819	24131210
MMETSP1142	19558523
MMETSP0943	21344195
MMETSP1404	12380332
MMETSP0580	16352994
MMETSP0328	4369824
MMETSP0295	10309714
MMETSP1311	6925886
MMETSP1080	12807768
MMETSP0104	11271688
MMETSP1123	19408890
MMETSP0881	26315818
MMETSP0922	2426770
MMETSP0998	23473613
MMETSP0708	5877789
MMETSP0986	24321699
MMETSP1465	8037119
MMETSP1370	27510694
MMETSP0961	21177230
MMETSP0213	6241401
MMETSP1397	20817073
MMETSP1389	13012909
MMETSP0147	22829348
MMETSP1160	16481855
MMETSP1333	36776554
MMETSP0314	11131294
MMETSP1067	31139064
MMETSP0040	19815768
MMETSP0878	25976819
MMETSP1438	16443259
MMETSP1426	38751791
MMETSP1367	43945475
MMETSP0014	27590802
MMETSP1033	56727970
MMETSP0991	17922703
MMETSP1472	6745591
MMETSP0888	20467097
MMETSP0896	4567593
MMETSP0259	41196329
MMETSP1089	30517383
MMETSP0113	21411239
MMETSP1097	3687397
MMETSP0416	7610740
MMETSP1324	21884690
MMETSP0057	44472304
MMETSP1070	16620663
MMETSP1380	13990255
MMETSP1177	20873914
MMETSP1169	19516297
MMETSP0150	25113303
MMETSP0976	19901012
MMETSP1450	25097225
MMETSP0469	45346723
MMETSP0810	19201802
MMETSP1345	14587087
MMETSP1116	22623791
MMETSP0092	10579641
MMETSP0917	8128490
MMETSP0799	31081224
MMETSP0909	26614153
MMETSP1052	20528938
MMETSP1318	19749089
MMETSP0321	13174219
MMETSP1413	22296040
MMETSP0434	30824183
MMETSP0853	16947123
MMETSP0954	6711225
MMETSP1155	15162932
MMETSP1170	4865656
MMETSP0149	20624363
MMETSP1387	15057980
MMETSP1399	13085443
MMETSP0971	12248803
MMETSP1428	20245281
MMETSP0411	7705272
MMETSP1436	19117317
MMETSP0745	7540540
MMETSP1323	10670360
MMETSP0891	21552431
MMETSP0932	10080601
MMETSP0114	19036798
MMETSP1090	17141230
MMETSP1034	55814075
MMETSP0013	16224794
MMETSP1360	18473368
MMETSP0359	85076614
MMETSP0347	1005256
MMETSP1475	13861538
MMETSP0706	8116080
MMETSP0988	25033963
MMETSP0996	16320247
MMETSP0718	3927214
MMETSP0382	67794338
MMETSP1152	12430328
MMETSP0326	14542042
MMETSP1055	20906584
MMETSP1414	23923834
MMETSP0095	52842049
MMETSP0780	10461392
MMETSP0910	20618415
MMETSP0699	15339345
MMETSP0817	22305209
MMETSP0724	17201028
MMETSP0809	19324476
MMETSP1449	20236686
MMETSP0470	28086433
MMETSP1016	42928396
MMETSP1008	14714130
MMETSP0031	66053394
MMETSP0369	47531018
MMETSP1445	22436534
MMETSP0736	19374224
MMETSP0902	24328658
MMETSP0087	28598117
MMETSP1103	25844078
MMETSP0099	10022470
MMETSP0270	66942713
MMETSP1406	22810807
MMETSP1418	28042368
MMETSP1059	20935106
MMETSP1047	27167618
MMETSP1140	14311792
MMETSP0167	13778965
MMETSP0233	7497409
MMETSP0941	12507923
MMETSP0984	23110778
MMETSP1467	19446323
MMETSP1038	54900399
MMETSP0252	210754
MMETSP0118	41418170
MMETSP1082	19084843
MMETSP0106	19654572
MMETSP0920	15130405
MMETSP0883	18345810
MMETSP0316	6586227
MMETSP0308	26388666
MMETSP0042	13426804
MMETSP1065	22262589
MMETSP1424	18972274
MMETSP0403	12416296
MMETSP0963	9385719
MMETSP0211	21698714
MMETSP1395	13116980
MMETSP1162	13359973
MMETSP0145	20643311
MMETSP0234	8249572
MMETSP0397	6181311
MMETSP1159	4444415
MMETSP0160	13931273
MMETSP1147	189771
MMETSP0958	13449421
MMETSP0946	4800099
MMETSP1401	12822804
MMETSP0290	29473755
MMETSP1040	8551882
MMETSP0795	19133073
MMETSP0905	24732631
MMETSP0562	8577438
MMETSP0269	37214225
MMETSP0123	16267668
MMETSP1104	13286169
MMETSP1357	19291768
MMETSP1349	13857141
MMETSP0370	50039654
MMETSP0199	13278318
MMETSP0802	13521219
MMETSP1442	13388973
MMETSP0503	22334189
MMETSP0649	47375685
MMETSP0964	14668094
MMETSP0142	21222090
MMETSP1165	11703098
MMETSP0216	12353107
MMETSP1392	27941244
MMETSP0208	27925617
MMETSP1062	14192357
MMETSP0045	20258710
MMETSP1336	16499144
MMETSP1328	14324060
MMETSP0404	32106479
MMETSP1423	20871768
MMETSP1138	10496595
MMETSP1085	10578485
MMETSP0101	15517308
MMETSP1126	15803557
MMETSP0884	17196891
MMETSP0939	8392630
MMETSP0447	16477711
MMETSP1460	9688184
MMETSP0713	20135651
MMETSP0820	23478519
MMETSP0983	22991864
MMETSP0018	7817848
MMETSP0006	9945473
MMETSP1434	7333260
MMETSP0413	5416459
MMETSP0759	18404198
MMETSP0747	7631270
MMETSP0052	18389567
MMETSP1075	68145330
MMETSP0318	7800053
MMETSP1321	15509963
MMETSP1172	12158875
MMETSP1385	23491405
MMETSP0201	58979561
MMETSP0973	25648849
MMETSP0011	13483086
MMETSP1036	52017211
MMETSP1362	21041529
MMETSP1469	11544956
MMETSP0994	15890250
MMETSP0930	7848158
MMETSP0603	16835295
MMETSP0893	13821099
MMETSP0108	14680210
MMETSP1131	7143165
MMETSP0116	42795827
MMETSP0324	47730061
MMETSP0287	22615333
MMETSP1049	24131580
MMETSP1057	30329665
MMETSP1416	24520569
MMETSP1408	26611451
MMETSP0528	53828526
MMETSP0380	13278318
MMETSP0223	59575
MMETSP0169	24068069
MMETSP1150	11760413
MMETSP0738	19666613
MMETSP0815	11546397
MMETSP0726	9174403
MMETSP0472	28444002
MMETSP0367	40133099
MMETSP0033	19999191
MMETSP0190	22511112
MMETSP0097	59029364
MMETSP0912	16943837
MMETSP0929	11084854
MMETSP0894	7207979
MMETSP0604	16593747
MMETSP0937	7833149
MMETSP0111	18217893
MMETSP1095	12106653
MMETSP1128	22952609
MMETSP1136	13763501
MMETSP1365	27624722
MMETSP0008	13046153
MMETSP0993	36674511
MMETSP0449	8832130
MMETSP1470	19819513
MMETSP0206	8205502
MMETSP0152	19985406
MMETSP1175	17524820
MMETSP0974	19632738
MMETSP0740	13712416
MMETSP0414	5750824
MMETSP1433	20651984
MMETSP1326	16667158
MMETSP1338	53185110
MMETSP0055	41370237
MMETSP1114	26589857
MMETSP0090	17371625
MMETSP0267	34244022
MMETSP0785	16144524
MMETSP0915	8780459
MMETSP1452	11100500
MMETSP0812	16720845
MMETSP1013	18234789
MMETSP0034	27136683
MMETSP1347	11328189
MMETSP0360	49153014
MMETSP1359	15480654
MMETSP0492	13158129
MMETSP0948	11217507
MMETSP0956	5111320
MMETSP1157	17311780
MMETSP0224	31700597
MMETSP1050	13793465
MMETSP0323	13708592
MMETSP0436	21859142
MMETSP0595	22937882
MMETSP1411	22007785
MMETSP0851	47296532
MMETSP1435	2766378
MMETSP0758	11291431
MMETSP0746	7339283
MMETSP0053	34065931
MMETSP1074	60115670
MMETSP1320	16042679
MMETSP0319	15286273
MMETSP1173	17788921
MMETSP0154	19911593
MMETSP0200	11853918
MMETSP1384	28816071
MMETSP0972	10039919
MMETSP0010	11416331
MMETSP1037	49813036
MMETSP1363	26030557
MMETSP1468	17113808
MMETSP0451	366605
MMETSP0995	16254135
MMETSP0892	14192229
MMETSP1130	7517763
MMETSP0109	15105993
MMETSP0117	20303166
MMETSP0325	51438826
MMETSP0286	12658413
MMETSP1048	11348622
MMETSP1417	24783292
MMETSP0593	22963332
MMETSP1409	24302346
MMETSP0950	12672589
MMETSP0494	23379755
MMETSP1151	10332232
MMETSP0168	17372392
MMETSP0176	35093628
MMETSP0739	24565735
MMETSP0727	11764195
MMETSP0814	12554647
MMETSP0378	13278318
MMETSP1015	32575935
MMETSP0191	9553549
MMETSP0096	48103750
MMETSP0088	9819310
MMETSP0913	11654365
MMETSP0574	69999841
MMETSP0895	5694196
MMETSP0936	8088701
MMETSP1129	15990570
MMETSP1094	38091577
MMETSP0110	12429247
MMETSP1137	8584179
MMETSP1364	26037021
MMETSP0009	24244646
MMETSP0017	17978425
MMETSP0992	12108890
MMETSP1471	8106794
MMETSP0448	41464028
MMETSP1174	26783646
MMETSP0975	17806643
MMETSP0415	6540218
MMETSP1432	16044642
MMETSP1327	15412091
MMETSP1339	8791059
MMETSP0132	2143237
MMETSP0091	11416994
MMETSP1115	28996689
MMETSP0573	58211226
MMETSP0784	56990034
MMETSP0914	10907127
MMETSP1453	9264539
MMETSP1012	25399613
MMETSP0196	1896042
MMETSP1346	14472198
MMETSP1358	24840240
MMETSP0361	83852033
MMETSP0493	18393007
MMETSP0949	11622330
MMETSP0957	10659368
MMETSP1148	57287
MMETSP0171	27539113
MMETSP1156	14672404
MMETSP0398	1408880
MMETSP0225	85637
MMETSP0322	10711051
MMETSP0437	6061888
MMETSP1410	24935737
MMETSP0850	16958452
MMETSP1005	12491831
MMETSP0368	42559025
MMETSP1444	15940010
MMETSP0463	15518533
MMETSP0804	20784613
MMETSP0737	38613787
MMETSP0903	24519804
MMETSP1102	17598447
MMETSP0086	7500269
MMETSP0125	10566280
MMETSP0098	23300098
MMETSP0271	64749482
MMETSP1407	23864306
MMETSP0420	5383368
MMETSP1419	27601453
MMETSP1058	31162508
MMETSP0288	25528231
MMETSP1312	10081635
MMETSP0296	17881951
MMETSP1141	16196058
MMETSP0166	7136877
MMETSP0232	8976079
MMETSP0527	50097827
MMETSP0484	24450434
MMETSP0985	20387774
MMETSP1466	16632790
MMETSP1039	10313263
MMETSP0253	42949496
MMETSP0119	38374559
MMETSP0107	12016015
MMETSP1083	9957057
MMETSP0882	19079287
MMETSP0317	5515993
MMETSP1330	10074919
MMETSP0043	22132274
MMETSP1064	20905056
MMETSP1425	23991343
MMETSP0962	3479982
MMETSP1394	18420579
MMETSP0210	8935236
MMETSP1163	17299784
MMETSP0235	3626458
MMETSP0161	24862228
MMETSP0959	18254470
MMETSP0947	13149768
MMETSP0439	22041710
MMETSP1400	14467406
MMETSP1315	11899295
MMETSP1041	18238595
MMETSP0794	23698192
MMETSP0904	22940558
MMETSP0563	20854057
MMETSP0268	40498904
MMETSP1105	11460584
MMETSP1356	18072622
MMETSP0371	51453971
MMETSP1348	16158124
MMETSP0186	199872
MMETSP1002	12764737
MMETSP0198	7105860
MMETSP0803	15272618
MMETSP0693	3410857
MMETSP1443	8980128
MMETSP0648	48011979
MMETSP0965	11784423
MMETSP0143	35503960
MMETSP1164	15490412
MMETSP1393	8134212
MMETSP0209	20755541
MMETSP1063	15449103
MMETSP0044	84147
MMETSP1329	13116214
MMETSP0405	5759500
MMETSP1422	25510014
MMETSP0751	9778288
MMETSP0100	13590147
MMETSP1084	14066828
MMETSP1139	14076127
MMETSP1127	25297485
MMETSP0938	8913816
MMETSP0885	18298004
MMETSP0982	20952955
MMETSP0019	13697847
MMETSP0007	10776806
MMETSP1374	36105418
MMETSP1366	29295892
MMETSP0015	17813096
MMETSP1032	53912474
MMETSP0990	11981234
MMETSP1473	17930058
MMETSP0889	16060124
MMETSP0897	5226055
MMETSP0258	38554690
MMETSP1096	29193668
MMETSP0112	11524570
MMETSP0409	5330551
MMETSP0417	18781750
MMETSP1325	10939909
MMETSP0056	56927124
MMETSP1071	15262541
MMETSP0205	10202483
MMETSP1381	10518645
MMETSP1176	16142805
MMETSP0151	17886831
MMETSP0977	19620982
MMETSP0468	25586369
MMETSP1451	25745514
MMETSP0811	38279300
MMETSP0029	74205479
MMETSP1010	19649661
MMETSP1344	38701256
MMETSP0093	46587774
MMETSP1117	21208355
MMETSP0798	14823961
MMETSP0916	12582353
MMETSP0908	24703110
MMETSP0786	17395448
MMETSP0320	13482740
MMETSP1319	16124291
MMETSP1412	24989616
MMETSP0852	18351804
MMETSP0491	10002139
MMETSP0955	12985407
MMETSP1154	14552941
MMETSP0173	13162753
MMETSP0384	63502622
MMETSP0227	13443071
MMETSP0156	21486482
MMETSP1171	11682237
MMETSP0202	45792289
MMETSP1386	19649415
MMETSP0970	10355070
MMETSP0410	8045835
MMETSP1429	9787537
MMETSP1437	11367487
MMETSP0744	9493065
MMETSP1068	33280361
MMETSP1322	16894698
MMETSP0890	17208179
MMETSP0933	11498453
MMETSP1091	14421774
MMETSP0115	16717201
MMETSP1132	16980054
MMETSP1035	55210416
MMETSP1361	24333175
MMETSP1474	21293628
MMETSP0989	25303793
MMETSP0707	23338820
MMETSP0997	18119048
MMETSP0661	33522942
MMETSP0174	36664252
MMETSP1153	13888833
MMETSP0327	11789402
MMETSP1054	22537561
MMETSP0766	47377826
MMETSP1415	22718555
MMETSP1110	48791650
MMETSP0911	14128235
MMETSP0725	12508918
MMETSP0816	20812115
MMETSP0698	16228811
MMETSP0471	26719947
MMETSP1456	9128612
MMETSP1017	32236769
MMETSP0030	78282764
MMETSP1009	10922816
MMETSP1402	9307079
MMETSP1309	8711887
MMETSP1317	8150567
MMETSP1043	17437103
MMETSP0229	98008
MMETSP1144	18711592
MMETSP0945	6032525
MMETSP1354	8377878
MMETSP0027	75480310
MMETSP0039	28885926
MMETSP1441	28405989
MMETSP0906	30108899
MMETSP0796	60792967
MMETSP0918	18614159
MMETSP1107	13422450
MMETSP0120	54798071
MMETSP0046	25477783
MMETSP1061	22342279
MMETSP0058	24804299
MMETSP0312	14428654
MMETSP1335	10323552
MMETSP1420	26165226
MMETSP0753	19262472
MMETSP1166	17078879
MMETSP1178	12433767
MMETSP0141	14622345
MMETSP1391	21143212
MMETSP1463	9893426
MMETSP0005	10581349
MMETSP1125	27660611
MMETSP1098	22311853
MMETSP0102	11127829
MMETSP1086	12207379
MMETSP0899	23677501
MMETSP0924	1485613
MMETSP0887	17617173
MMETSP0578	16624703
MMETSP0901	23065026
MMETSP0127	10072338
MMETSP1100	15405450
MMETSP0139	16310177
MMETSP1007	13041285
MMETSP1019	8689267
MMETSP0020	11483678
MMETSP1353	9143045
MMETSP1446	8887625
MMETSP0806	12464213
MMETSP0735	15020019
MMETSP0818	24608421
MMETSP0696	18895693
MMETSP0164	24564224
MMETSP1143	18931400
MMETSP0942	10844570
MMETSP1405	25867454
MMETSP0063	24002326
MMETSP1310	20162237
MMETSP0294	14560552
MMETSP0329	11073265
MMETSP0251	406515
MMETSP0105	18739011
MMETSP1081	16392534
MMETSP1122	32357383
MMETSP0880	27464579
MMETSP0717	12352719
MMETSP0987	23321344
MMETSP1464	14633228
MMETSP1371	30165633
MMETSP0960	19673747
MMETSP1396	18080880
MMETSP1388	29557388
MMETSP0146	26273618
MMETSP1161	11031986
MMETSP0158	21199208
MMETSP0315	13836175
MMETSP1066	31655459
MMETSP0041	9560866
MMETSP0754	13389543
MMETSP0879	27478013
MMETSP1439	22767872
