assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1402.trinity_out_2.2.0.Trinity.fasta,15692,201,11749,14865995,947.36139,0,5061,1,9467,84.08789,412,898,1432,2178,3715,0.64504,0.008709999999999999,0.00852,2.61741,0,0.0,0.14751,15150,15150,0.96546,0.87049,13691,0.78666,11571,0.66485,11210,0.6441,10725,0.61624,10501,0.60337,10207,0.5864699999999999,0.50015,,,,MMETSP1402,MMETSP1402
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0471.trinity_out_2.2.0.Trinity.fasta,60232,201,14989,39729242,659.60357,0,11986,6,24912,91.48445,275,557,1010,1538,2443,0.59067,0.02222,-0.0036,1.91485,0,0.0,0.12828,58820,58820,0.97656,0.9636299999999999,56764,0.92995,54079,0.8859600000000001,53585,0.87787,52791,0.8648600000000001,52434,0.85901,51971,0.8514299999999999,0.8365100000000001,,,,MMETSP0471,MMETSP0471
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0041.trinity_out_2.2.0.Trinity.fasta,41011,201,16838,31476670,767.51774,0,10607,8,20151,85.52011,329,725,1115,1591,2559,0.52767,0.00705,0.00848,2.02052,0,0.0,0.14955,39184,39184,0.95545,0.8780700000000001,34406,0.7709999999999999,30545,0.68448,29752,0.66671,28429,0.6370600000000001,27766,0.62221,26759,0.59964,0.5821,,,,MMETSP0041,MMETSP0041
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1349.trinity_out_2.2.0.Trinity.fasta,21247,201,5431,18903505,889.70231,0,7790,0,9952,60.425619999999995,401,923,1306,1720,2396,0.39386,0.01178,0.0070799999999999995,1.9801099999999998,0,0.0,0.17142000000000002,20636,20636,0.97124,0.9319,18911,0.8540000000000001,17299,0.7812,16904,0.76337,16496,0.7449399999999999,16291,0.73568,15970,0.72119,0.69653,,,,MMETSP1349,MMETSP1349
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0010.trinity_out_2.2.0.Trinity.fasta,43375,201,13866,52360772,1207.1647699999999,0,20418,25,25589,67.98617,564,1236,1785,2460,3918,0.45756,0.00607,0.00395,1.9643099999999998,0,0.0,0.21122,41724,41724,0.96194,0.9820200000000001,36309,0.85457,32443,0.76358,32002,0.7532,31320,0.73715,30924,0.72783,30316,0.7135199999999999,0.7084,,,,MMETSP0010,MMETSP0010
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0436.trinity_out_2.2.0.Trinity.fasta,33913,201,8587,26034618,767.68844,0,8833,0,5847,41.35372,321,725,1169,1671,2605,0.5118,0.00279,0.02436,2.14131,0,0.0,0.15052000000000001,33416,33416,0.98534,0.9802,31948,0.93714,30637,0.8986799999999999,30377,0.8910600000000001,29949,0.8785,29736,0.87225,29465,0.8643,0.84388,,,,MMETSP0436,MMETSP0436
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1328.trinity_out_2.2.0.Trinity.fasta,27845,201,24254,22319126,801.54879,0,6732,31,14721,89.7047,342,723,1135,1742,3615,0.62749,0.00672,0.0034799999999999996,2.4760400000000002,0,0.0,0.14103,27288,27288,0.98,0.9364100000000001,25955,0.8906700000000001,24285,0.83336,23933,0.8212799999999999,23529,0.80742,23336,0.8008,23114,0.79318,0.66351,,,,MMETSP1328,MMETSP1328
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1355.trinity_out_2.2.0.Trinity.fasta,38957,201,17512,23874702,612.84755,0,5801,8,15594,92.43616,269,489,834,1360,2741,0.63549,0.02557,0.020380000000000002,1.8759700000000001,0,0.0,0.11292,38047,38047,0.97664,0.92148,36429,0.88229,33936,0.82191,33451,0.81017,32774,0.79377,32522,0.78767,32192,0.77967,0.6895100000000001,,,,MMETSP1355,MMETSP1355
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0802.trinity_out_2.2.0.Trinity.fasta,2991,201,19235,4652513,1555.5041800000001,0,1674,6,2200,81.29290999999999,811,1570,2335,3421,5721,0.6052,4e-05,-0.00283,2.4181,0,0.0,0.23674,2872,2872,0.96021,0.19763,2538,0.17465,2075,0.14279,1974,0.13584000000000002,1888,0.12992,1842,0.12675,1809,0.12448,0.13096,,,,MMETSP0802,MMETSP0802
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0988.trinity_out_2.2.0.Trinity.fasta,72388,201,14348,42757861,590.67609,0,10324,9,26886,89.33848,266,461,793,1291,2406,0.62912,0.01951,0.01551,2.04146,0,0.0,0.11101,70293,70293,0.97106,0.9527200000000001,66131,0.89631,59176,0.80205,58213,0.789,56575,0.7668,55811,0.75644,54556,0.73943,0.7112,,,,MMETSP0988,MMETSP0988
